Year	Country	What we tested	What we hoped to learn	What we learnt
2023	Laos	Scripts	Testing scripts to determine which topic interests the audience more:"denial of god's existence"vs.other.hope to learn which script resonates best with viewers.	The script "denial of god's existence"performed better with a cost per ITJ AUD0 .0066.bear animation from biteable was the most effective style.upbeat indie pop instrumental music performed best.
2023	Laos	Format	Testing Format to see which one engages the audience more.text on abstract bg vs.bear animation vs.other.hope to identify the most engaging format.	Bear animation performed best with a cost per ITJ AUD0 .0035.
2023	Laos	Music style	Testing music styles to determine which one interests the audience more.upbeat indie pop instrumental vs.other.hope to learn which music style enhances engagement.	Upbeat indie pop instrumental performed best with a cost per ITJ AUD0 .0043.
2023	Laos	Scripts	Testing scripts to determine which topic interests the audience more:"strength to face the problem of work"vs.other.hopetolearnwhichscriptresonatesbestwithviewers.	The script "strengthtofacetheproblemofwork"performedbetterwithacostperITJo f AUDo.o066.renderforestwas themosteffectivestyle.ambientmusicperformedbest.
2023	Laos	Format	Testing Format to see which one engages the audience more: text on abstract bg vs. 3d animation vs. others. hope to identify the most engaging format.	3d animation performed best with a cost per ITJ of AUD0.0039.
2023	Laos	Music style	Testing music styles to determine which one interests the audience more: ambient music vs. others. hope to learn which music style enhances engagement.	Ambient music performed best with a cost per ITJ of AUD0.0045.
2023	Laos	Scripts	Testing scripts to determine which topic interests the audience more: "hurt from a broken friendship" vs. others. hope to learn which script resonates best with viewers.	The script "hurt from a broken friendship" performed better with a cost per ITJ of AUD0.0018. artblogs from canva were the most effective style. artblogs opening performed best.
2023	Laos	Format	Testing Format to see which one engages the audience more: text on abstract bg vs. artblogs from canva vs. others. hope to identify the most engaging format.	Artblogs from canva performed best with a cost per ITJ of AUD0.0024.
2023	Laos	Music style	Testing opening styles to determine which one interests the audience more: artblogs opening vs. others. hope to learn which opening style enhances engagement.	Artblogs opening performed best with a cost per ITJ of AUD0.0008.
2023	Laos	Scripts	Testing scripts to determine which topic interests the audience more: "hardship in livelihood" vs. others. hope to learn which script resonates best with viewers.	The script "hardship in livelihood" performed better with a cost per ITJ of AUD0.0008. artblog from biteable was the most effective style. slow christian contemporary instrumental music performed best.
2023	Laos	Format	Testing Format to see which one engages the audience more: text on abstract bg vs. artblog from biteable vs. others. hope to identify the most engaging format.	Artblog from biteable performed best with a cost per ITJ of AUD0.0007.
2023	Laos	Music style	Testing music styles to determine which one interests the audience more: christian contemporary music instrumental vs. others. hope to learn which music style enhances engagement.	Christian contemporary music instrumental performed best with a cost per ITJ of AUD0.0006.
2023	Laos	Scripts	Testing scripts to determine which topic interests the audience more: "conflicts with romantic partner" vs. others. hope to learn which script resonates best with viewers.	The script "conflicts with romantic partner" performed better with a cost per ITJ of AUD0.0019. kaiber animation - entergalatic art style was the most effective style. landscape 16:9 ratio performed best.
2023	Laos	Format	Testing Format to see which one engages the audience more: text on abstract bg vs. kaiber animation vs. others. hope to identify the most engaging format.	Kaiber animation performed best with a cost per ITJ of AUD0.0019.
2023	Laos	Ratios	Testing ratios to determine which one interests the audience more: landscape 16:9 vs. others. hope to learn which ratio enhances engagement.	Landscape 16:9 performed best.
2023	Laos	Scripts	Testing scripts to determine which topic interests the audience more: "forgiveness - new beginning" vs. others. hope to learn which script resonates best with viewers.	The script "forgiveness - new beginning" performed better with a cost per ITJ of AUD0.0043. whiteboard animation from renderforest was the most effective style. whiteboard animation opening style performed best.
2023	Laos	Format	Testing Format to see which one engages the audience more: text on abstract bg vs. whiteboard animation vs. others. hope to identify the most engaging format.	Whiteboard animation performed best with a cost per ITJ of AUD0.0077.
2023	Laos	Opening style	Testing opening styles to determine which one interests the audience more: whiteboard animation opening vs. others. hope to learn which opening style enhances engagement.	Whiteboard animation opening performed best with a cost per ITJ of AUD0.0020.
2023	Laos	Scripts	Testing scripts to determine which topic interests the audience more: "low self-esteem" vs. others. hope to learn which script resonates best with viewers.	The script "low self-esteem" performed better with a cost per ITJ of AUD0.0007. hospital toolkit from renderforest was the most effective style. slow piano instrumental music performed best.
2023	Laos	Format	Testing Format to see which one engages the audience more: text on abstract bg vs. hospital toolkit vs. others. hope to identify the most engaging format.	Hospital toolkit performed best with a cost per ITJ of AUD0.0027.
2023	Laos	Music style	Testing music styles to determine which one interests the audience more: slow piano instrumental vs. others. hope to learn which music style enhances engagement.	Slow piano instrumental performed best with a cost per ITJ of AUD0.0028.
2023	Laos	Scripts	Testing scripts to determine which topic interests the audience more: "denial of god's existence" vs. others. hope to learn which script resonates best with viewers.	The script "denial of god's existence" performed better with a cost per ITJ of AUD0.0066. bear animation from biteable was the most effective style. upbeat indie pop instrumental music performed best.
2023	Laos	Format	Testing Format to see which one engages the audience more: text on abstract bg vs. bear animation vs. others. hope to identify the most engaging format.	Bear animation performed best with a cost per ITJ of AUD0.0035.
2023	Laos	Music style	Testing music styles to determine which one interests the audience more: upbeat indie pop instrumental vs. others. hope to learn which music style enhances engagement.	Upbeat indie pop instrumental performed best with a cost per ITJ of AUD0.0043.
2023	Laos	Scripts	Testing scripts to determine which topic interests the audience more: "strength to face the problem of work" vs. others. hope to learn which script resonates best with viewers.	The script "strength to face the problem of work" performed better with a cost per ITJ of AUD0.0037. 3d animation from renderforest was the most effective style. ambient music performed best.
2023	Laos	Format	Testing Format to see which one engages the audience more: text on abstract bg vs. 3d animation vs. others. hope to identify the most engaging format.	3d animation performed best with a cost per ITJ of AUD0.0039.
2023	Laos	Music style	Testing music styles to determine which one interests the audience more: ambient music vs. others. hope to learn which music style enhances engagement.	Ambient music performed best with a cost per ITJ of AUD0.0045.
2023	Laos	Scripts	Testing scripts to determine which topic interests the audience more: "hurt from a broken friendship" vs. others. hope to learn which script resonates best with viewers.	The script "hurt from a broken friendship" performed better with a cost per ITJ of AUD0.0018. artblogs from canva were the most effective style. artblogs opening performed best.
2023	Laos	Format	Testing Format to see which one engages the audience more: text on abstract bg vs. artblogs from canva vs. others. hope to identify the most engaging format.	Artblogs from canva performed best with a cost per ITJ of AUD0.0024.
2023	Laos	Opening style	Testing opening styles to determine which one interests the audience more: artblogs opening vs. others. hope to learn which opening style enhances engagement.	Artblogs opening performed best with a cost per ITJ of AUD0.0008.
2023	Laos	Scripts	Testing scripts to determine which topic interests the audience more: "hardship in livelihood" vs. others. hope to learn which script resonates best with viewers.	The script "hardship in livelihood" performed better with a cost per ITJ of AUD0.0008. artblog from biteable was the most effective style. slow christian contemporary instrumental music performed best.
2023	Laos	Format	Testing Format to see which one engages the audience more: text on abstract bg vs. artblog from biteable vs. others. hope to identify the most engaging format.	Artblog from biteable performed best with a cost per ITJ of AUD0.0007.
2023	Laos	Music style	Testing music styles to determine which one interests the audience more: christian contemporary music instrumental vs. others. hope to learn which music style enhances engagement.	Christian contemporary music instrumental performed best with a cost per ITJ of AUD0.0006.
2023	Laos	Scripts	Testing scripts to determine which topic interests the audience more: "conflicts with romantic partner" vs. others. hope to learn which script resonates best with viewers.	The script "conflicts with romantic partner" performed better with a cost per ITJ of AUD0.0019. kaiber animation - entergalatic art style was the most effective style. landscape 16:9 ratio performed best.
2023	Laos	Format	Testing Format to see which one engages the audience more: text on abstract bg vs. kaiber animation vs. others. hope to identify the most engaging format.	Kaiber animation performed best with a cost per ITJ of AUD0.0019.
2023	Laos	Ratios	Testing ratios to determine which one interests the audience more: landscape 16:9 vs. others. hope to learn which ratio enhances engagement.	Landscape 16:9 performed best.
2023	Laos	Scripts	Testing scripts to determine which topic interests the audience more: "hope - jesus - the true meaning of christmas" vs. others. hope to learn which script resonates best with viewers.	The script "hope - jesus - the true meaning of christmas" performed better with a cost per ITJ of AUD0.0010. explainer toolkit animation from renderforest was the most effective style. upbeat christian contemporary music performed best.
2023	Laos	Format	Testing Format to see which one engages the audience more: text on abstract bg vs. explainer toolkit animation vs. others. hope to identify the most engaging format.	Explainer toolkit animation performed best with a cost per ITJ of AUD0.0001.
2023	Laos	Music style	Testing music styles to determine which one interests the audience more: upbeat christian contemporary music vs. others. hope to learn which music style enhances engagement.	Upbeat christian contemporary music performed best with a cost per ITJ of AUD0.0001.
2023	SriLanka	Script Test	What do you hope to learn,What did you learn	1b - Mountains in My Finances
2023	SriLanka	Script Test	1a - Mountains in My Future 1b - Mountains in My Finances 1c - Mountains in My Relationships,ENG - 1b - 0.0057 SIN - 1b - 0.0073 TAM - 1a 0.0021	1b - Dependant on Friends
2023	SriLanka	Script Test	1a - Dependant on Money 1b - Dependant on Friends 1c - Dependant on Self,ENG - 1c - 0.0069 SIN - 1b - 0.0098 TAM - 1b 0.0082	1c - You are Loved
2023	SriLanka	Format Test	1a - You are Beautiful 1b - You are Happy 1c - You are Loved,ENG - 1a - 0.0062 SIN - 1c - 0.0077 TAM - 1c 0.0083	2d - Control
2023	SriLanka	Script Test	2a - Artblog 2b - Typography 2c - Nature 2d - Control,ENG - 1d - 0.0050 SIN - 1b - 0.0063 TAM - 1d - 0.0063	1c - Fear of the future
2023	SriLanka	Script Test	1a - Fear of being judged 1b - Fear of being alone 1c - Fear of the future,ENG - 1c - 0.0046 SIN - 1a - 0.0071 TAM - 1c - 0.0066	1b - Fruitfulness in the Year
2023	SriLanka	Script Test	1a - Prosperity in the New Year 1b - Fruitfulness in the Year 1c - Blessings in the New Year,ENG - 1b - 0.0038 SIN - 1b - 0.0052 TAM - 1c - 0.0049	1b - Betrayal of Self
2023	SriLanka	Format Test	1a - Betrayal of Friends 1b - Betrayal of Self 1c - Betrayal of God,ENG - 1c - 0.0046 SIN - 1b - 0.0052 TAM - 1b - 0.0059	2d - Control
2023	SriLanka	Script Test	2a - Nature 2b - ArtBlog 2c - Typography 2d - Control,ENG - 2b - 0.0035 SIN - 2d - 0.0043 TAM - 2d - 0.0039	1c - Inner Peace
2023	SriLanka	Script Test	1a - Inner Beauty 1b - Inner Joy 1c - Inner Peace,ENG - 1a - 0.0047 SIN - 1c - 0.0061 TAM - 1b - 0.0052	
2023	SriLanka	Script Test	1a - Does Materialism make life better 1b - Does Enjoyment make life better 1c - Does Success make life better,ENG - 1b - 0.0047 SIN - 1a - 0.0064 TAM - 1c - 0.0057	1c - Loneliness at Home
2023	SriLanka	Script Test	1a - Balancing Work and Life 1b - Feelings of Doubt 1c - Loneliness at Home,ENG - 1a - 0.0089 SIN - 1c - 0.0064 TAM - 1b - 0.0100	1a - How Shame Affects Our Lives
2023	SriLanka	Script Test	2a - ArtBlog 2b - Nature 2c - Typography 2d - Control,	1a - Feeling Worthless
2023	SriLanka		1a - Feeling Worthless 1b - Feeling Lonely 1c - Feeling Broken,ENG - 1a - 0.0112 SIN - 1c - 0.0121 TAM - 1b - 0.0138	2d - Campaign Obj - Awareness
2023	SriLanka	Script Test	2a - ArtBlog 2b - Nature 2c - Typography 2d - Campaign Obj - Awareness,ENG - 2d - 0.0037 SIN - 2d - 0.0036 TAM - 2d - 0.0056	1b - Providing for the family
2023	SriLanka		1a - Leading by example 1b - Providing for the family 1c - Balancing emotions,ENG - 1b - 0.0018 SIN - 1b - 0.0048 TAM - 1b - 0.0051	2a - ArtBlog. The Animation test was successful but didn't continue further as there were restrictions in being able to localize in SIN and TAM.
2023	SriLanka	Script Test	2a - ArtBlog 2b - Nature 2c - Typography/ Animation (ENG - D-Id + MidJourney) 2d - Control,ENG - 2c - 0.0016 SIN - 2a - 0.0046 TAM - 2a - 0.0043	1b - Hope for Restoration
2023	SriLanka		1a - Hope for Comfort 1b - Hope for Restoration 1c - Hope for Acceptance,ENG - 1b - 0.0019 SIN - 1b - 0.0010 TAM - 1b - 0.0030	2a - ArtBlog
2023	SriLanka	Script Test	2a - ArtBlog 2b - Nature 2c - Typography 2d - Control,ENG - 2b - 0.0025 SIN - 2a - 0.0026 TAM - 2a - 0.0040	1b - Peace in Stress
2023	SriLanka		1a - Peace in Conflict 1b - Peace in Stress 1c - Peace in Uncertainty,ENG - 1b - 0.0020 SIN - 1b - 0.0023 TAM - 1b - 0.0023	2c - Typography
2023	SriLanka	Script Test	2a - ArtBlog 2b - Nature 2c - Typography 2d - Control,ENG - 2c - 0.0024 SIN - 2c - 0.0029 TAM - 2b - 0.0026	1a - Freedom from Anger
2023	SriLanka		1a - Freedom from Anger 1b - Freedom from Pain 1c - Freedom from Anxiety,ENG - 1a - 0.0024 SIN - 1b - 0.0026 TAM - 1c - 0.0037	2a - ArtBlog
2023	SriLanka	Script Test	2a - ArtBlog 2b - Nature 2c - Typography 2d - Control,ENG - 2a - 0.0023 SIN - 2c - 0.0032 TAM - 2d - 0.0045	1a - Finding Purpose
2023	SriLanka		1a - Finding Purpose 1b - Finding Confidence 1c - Finding Growth,ENG - 1a - 0.0025 SIN - 1b - 0.0028 TAM - 1a - 0.0042	2b - Nature
2023	SriLanka	Script Test	2a - ArtBlog 2b - Nature 2c - Typography 2d - Control,ENG - 2b - 0.0021 SIN - 2d - 0.0020 TAM - 2b - 0.0027	1a - Facing Self-Doubt in Career
2023	SriLanka	Format Test	1a - Facing Self-Doubt in Career 1b - Facing Self-Doubt in Education 1c - Facing Self-Doubt in Relationships,ENG - 1a - 0.0029 SIN - 1a - 0.0032 TAM - 1b - 0.0041	2a - ArtBlog
2023	SriLanka	Script Test	2a - ArtBlog 2b - Nature 2c - Typography 2d - Control,ENG - 2b - 0.0023 SIN - 2a - 0.0027 TAM - 2d - 0.0031	1b - Trust in Friends
2023	Pakistan	Script/ Video style	Which script and video style would be more effective	English script in Preaching style in Stage 1 and video with local Pakistani images and Urdu language performed better than the other videos.
2023	Pakistan	Script/ Video style	Which language, script and video style would be more effective	English Script in preaching style with clips performed better.
2023	Pakistan	Script/ Video style	Which language, script and video style would be more effective	English Script in Jesus style with plain background and text performed better.
2023	Pakistan	Script/ Video style	Which language, script and video style would be more effective	English, preaching style and animated videos performed better.
2023	Pakistan	Script/ Video style	Which language, script and video style would be more effective	English, testimonial style and animated videos performed better.
2023	Pakistan	Script/ Video style	If we would get more response from women as it was designed specifically for them. Also, which language, script and video style would work better for female audience.	English, testimonial style and animated video performed better. We saw almost 20% increase in messages from females.
2023	Pakistan	Script/ Video style	Which language, script and video style would be more effective	Roman Urdu, testimonial style in Stage 1 and Urdu script with animation performed better in Stage 2.
2023	Pakistan	Script/ Video style	Which country's script and video would perform better in Pakistan	Middle East Ramadan video performed better in Pakistan.
2023	Pakistan	Script/ Video style	Which language, script and video style would be more effective	Urdu script, testimonial style in Stage 1 and plain background video in Stage 2 performed better.
2023	Pakistan	Script/ Video style	Which language, script and video style would be more effective	Urdu script, testimonial style in Stage 1 and animated video in Stage 2 performed better.
2023	Pakistan	Script/ Video style	Which language, script and video style would be more effective	Urdu script, preaching style in Stage 1 and plain background performed better.
2023	Pakistan	Script/ Video style	If we would get more response from women as it was designed specifically for them. Also, which language, script and video style would work better for female audience.	Response rate increased by 40%. Urdu script, testimonial style in Stage 1 and Animation style in Stage 2 performed better.
2023	Pakistan	Script/ Video style	Which language, script, video style and voiceover would be effective	Urdu script, Jesus style in Stage 1 and plain video with male voiceover in Stage 2 performed better.
2023	Pakistan	Script/ Video style	Which language, script, video style and voiceover would be effective	Urdu script, Jesus style in Stage 1 and plain video with male voiceover in Stage 2 performed better.
2023	Pakistan	Script/ Video style	Which language, script, video style and voiceover would be effective	Urdu script, Jesus style in Stage 1 and plain video with male voiceover in Stage 2 performed better.
2023	Pakistan	Script/ Video style	Which language, script, video style and voiceover would be effective	English, preaching style in Stage 1 and plain video with male voiceover in Stage 2 performed better.
2023	Pakistan	Script/ Video style	Which language, script, video style and voiceover would be effective	English, preaching style in Stage 1 and short clips in Stage 2 performed better. Also, we got many messages from women on this campaign.
2023	Pakistan	Script/ Video style	Which language, script, video style and voiceover would be effective	English, Jesus style in Stage 1 and plain video in Stage 2 with male voiceover performed better.
2023	Pakistan	Script/ Video style	Which language, script, video style and voiceover would be effective	English, Jesus style in Stage 1 and plain background video in Stage 2 were the winners.
2023	Pakistan	Script/ Video style	Which language, script and video style would be effective	English, Jesus style in Stage 1 and plain background video in Stage 2 were the winners.
2023	Pakistan	Script/ Video style	Which language, script and video style would be effective	English, Jesus style in Stage 1 and plain background video in Stage 2 were the winners.
2023	Nepal	Presentation style	Which presentation style would be more effective.	Video with birds and animals with joyful music is the winning script.
2023	Nepal	M/F voice over, Presentation style	How effective will voice over be over typography and whiteboard animation over stock video.	Male VO with stock video is the winning video.
2023	Nepal	Script, Voice over with typography, M/F voice over	How effective will voice over be in Stage 1.	Video with Mrityu Pachee script is the winning video.
2023	Nepal	Male vs Female VO, Voice over vs typography	Video with male VO is the winning video over female VO and typography video.	Mrityu Pachee
2023	Nepal	Script and voice over variation	How effective will voice over variation be over typography.	All videos with voice over did equally good.
2023	Nepal	M/F voice over vs typography & still footage vs stock video	Which presentation style would be more effective.	Video with stock video having male voice over is the winning video.
2023	Nepal	Script and Typography	How effective will typography be over voice over.	Mrityulai Jeetnu script is the winning script.
2023	Nepal	Human voice vs AI voice	How effective will human voice be over AI voice.	Human voice is more effective than AI voice.
2023	Nepal	Indian AI voice with typography	How effective will AI voice with typography be.	AI voice didn't do very well.
2023	Nepal	M/F voice over vs typography	Which presentation style would be more effective.	Video with male voice over is the winning video.
2023	Nepal	Script and presentation style with narration	How effective will direct ITJ be in all scripts.	Script Siddha Prem is the winning video with direct ITJ.
2023	Nepal	Male and female voice over and typography	Which presentation style would be more effective.	Control video from Stage 1 is the winning video.
2023	Nepal	Script, music and color variation	How effective will music and color variation be.	Sundaar Kura script with soothing music and neutral color is the winning video.
2023	Nepal	Script, presentation style and music variation	Which presentation style and music variation will engage the audience most.	Video having soothing music with birds footage is the winning script.
2023	Nepal	Presentation style and M/F VO	Male vs female voice over.	Control video from Stage 1 is the winning video.
2023	Nepal	Presentation Styles (Nepali people & lifestyle footages, Music variation, VO variation)	Which presentation style would be more engaging.	Script Pariwartan with Nepali music and faces with male VO is the winning video.
2023	Nepal	Presentation Styles (Nepali people & lifestyle footages vs nature landscape, Music variation, VO variation)	Presentation Styles	Video with Nepali food, culture, lifestyle and music with female VO is the winning video.
2023	Nepal	Typography, music variation and ITJ placement	How effective will Nepali music be.	Video with joyful music is the winning video. Nepali music didn't do good this time.
2023	Nepal	Presentation Style (Nepali face vs west, VO vs typography)	Which presentation style would be more engaging.	Control video from Stage 1 is the winning video.
2023	Nepal	ITJ placement in the middle of a script & Asian face vs Nepali face and food	How effective ITJ placement will be in the middle of the script and Asian face.	ITJ placement at last of the script with Nepali face video is the winning video.
2023	Nepal	Presentation Style (Nepali face vs Asian face, VO vs typography)	Which presentation style would be more engaging.	Control video from Stage 1 is the winning video.
2023	Nepal	Animation typography style, script and still images	How effective will still images and animation typography style be.	Script with simple typography is the winning video.
2023	Nepal	Presentation Style (Male vs female VO, VO vs typography, Local vs Irani faces)	Which presentation style would be more engaging.	Male VO having Irani face is the winning video.
2023	Nepal	Script vs Male VO with middle east faces	Placement of ITJ and without ITJ in script	Script having ITJ placement at last is the winning video.
2023	Nepal	Presentation Style (VO vs typography, Still vs motion picture, Music variation)	Effectiveness between VO and typography	Control video from Stage 1 is the winning video.
2023	Nepal	Script vs footages	Placement of ITJ and effectiveness of different ethnic people faces	Script having ITJ in the middle is the winning video.
2023	Nepal	Presentation Style (VO vs typography, Music variation)	Which music variation will be more engaging.	Uplifting music with VO video is most engaging video.
2023	Nepal	Script and color	How effective will color variation be.	Pariwartan script with black & white footage is the winning video.
2023	Nepal	Male vs female VO	Which VO will perform better.	Female voice over is the winning video.
2023	Nepal	Script, typography, music & stock footages	Which script will be the winning script.	Sudhar script having aquatic animals footages is the winning video.
2023	Nepal	Presentation style (Voice over vs typography, Video vs still footages)	Which presentation style will be more engaging.	Video with VO having cooking footage is the winning video.
2023	Nepal	Winning script vs New script & village life style vs wild animals	How effective will winning script be over new script.	Badlee Rahane new script having village life style video is the winning video.
2023	Nepal	Presentation style (Voice over vs typography, Music variation)	Which presentation style will be more engaging.	Video with typography and winning footages from Stage 1 is the winning video.
2023	Nepal	-	-	-
2023	Nepal	-	-	-
2023	Nepal	Voice over vs Typography	How effective will blank typography be over voice over video.	Script K Cha with VO was the winning video.
2023	Nepal	Presentation Style (VO vs Typography, Male vs female VO, Color variation, File size)	Which presentation will be more effective.	Control video from Stage 1 is the winning video.
2023	Nepal	Script with indirect ITJ and presentation style	How effective will indirect ITJ be.	Tutako Sapana script was the winning video which had local footages.
2023	Nepal	Presentation Style (VO vs Typography, Music variation, Motion vs Still pictures, Old aged vs Mid aged people face)	Which presentation style will be the winning video.	Typography video having old aged people footage is the winning video.
2023	Nepal	Presentation style and hook lines in script	How effective will hook line be in the scripts.	Maya badna ra maya pauna hook line is the winning video.
2023	Nepal	Presentation Style (Duet VO, Animation vs stock footages, AI generated images)	How effective will duet VO and AI generated image be.	AI generated image with duet VO is the winning video.
2023	Nepal	Script and presentation style	Which script will be the winning video.	Bhitri Shanti script with female VO is the winning video.
2023	Nepal	Presentation style (AI generated image, M vs F VO, Typography, Music variation)	Which presentation style will be the winning video.	Female voice with soothing music and local stock footage is the winning video.
2023	Nepal	Hook line and VO without typography	How effective will hook line be at the start of the script.	Script with female voice over and busy streets and people is the winning video.
2023	Nepal	Presentation Style (VO vs Typography, Music variation, Motion vs Still pictures)	Which presentation style will be the winning video.	Stage 2A having video and only typography was the winning video.
2023	Nepal	Script and presentation style	Which presentation style and script will be the winning video.	Timro Lagi script having Asian face was the winning video.
2023	Nepal	M/F VO vs typography	Which voice over will be more engaging.	Control video from Stage 1 was the winning video.
2023	Nepal	Script with typography	Which script will be the winning script.	Buwako Prem script having cooking video was the winning video.
2023	Nepal	Presentation Style (Male vs Female VO, VO vs Typography, Video vs Still picture)	Which presentation style will be more engaging.	Control video from Stage 1 was the winning video.
2023	Nepal	Script	Which script will be the winning script.	Nayaak script was the winning script and video.
2023	Nepal	Presentation Style (VO vs Typography, Still vs motion pictures, Footages variation)	Which presentation style will be more engaging.	-
2023	Nepal	Script, presentation style & music variation	How effective will presentation style and music variation be.	Eak Dhaal script having soothing music was the winning video.
2023	Nepal	Presentation Style (VO vs Typography, Still vs motion footages, Village life style vs cooking footages)	Which presentation style will be more engaging.	Village life style footages with VO was the winning video.
2023	Myanmar	Script	What will happen after change first line of the scriptFirst 5 seconds	Changing First text bring balance. It attract many new audience to underperform scripts.
2023	Myanmar	Script	What type of Music work best. (Happy, Uplifting, Sad)Music Type	Happy and Fun Type of Music work a little bit better than other Music Themes
2023	Myanmar	Script	1 Video Footages or Multiple Footages works better.Video Footages	It is hard to decide, 1 footages of Nature (waterfall, Landscape and water) work well but Emotional footages perform well too.
2023	Myanmar	Script	Which Voice over works better between Male, Female and No Voice OverVideo Footages	Both Male and Female Voice Over Videos work a little bit better than No Voice over Videos
2023	Myanmar	Script Test	Scipt Testing for Video Filming.	MVP Script about ' I do not dare to share what i am struggling to other' is the winner of scrip Test
2023	Myanmar	Script Test	Video Footages test, Random footages and Specific footages base on Video, Male Video footages Vs Female Video FootagesVideo Footage Test	It is clear that specific video footages work better than random one.
2023	Myanmar	Script Test	MVP script testing in different languages, finding out which group interested in what topic.	
2023	Vietnam	Stage 1: Script	Stage 1: Which script would interest the audience more 1A - Hurt from A Broken Friendship 1B - Anger from Being Betrayed by Friends 1C - A Sense of Loss after A Friendship's Broken	The script Hurt From a Broken Friendship works better - AUD 0.0023 per 95% view and 1 conversation
2023	Vietnam	Stage 2: Format	Stage 2: Which format would interest the audience more 2A - Text on Abstract BG 2B - Artblogs 2C - Clay Animation 2D - Text Animation	The format Clay Animationp works better - AUD 0.0018 per 95% view
2023	Vietnam	Stage 3: VO	Stage 3: Which VO would interest the audience more 3A - Female VO 3B - Male VO 3C - Only Background Music	Female VO works best - AUD 0.0017 per 95% view and 1 click.
2023	Vietnam	Stage 1: Script	Stage 1: Which script would interest the audience more 1A - Debt 1B - Family Well-fare 1C - Hardship in Livelihood	The script hardship in Livelihood worked better - AUD 0.0018 per 95% view
2023	Vietnam	Stage 2: Format	Stage 2: Which format would interest the audience more 2A - Text on Abstract BG 2B - Artblogs 2C - Clay Animation 2D - Synthesia	Format Clay Animation worked better - AUD 0.0016 per 95% view
2023	Vietnam	Stage 3: VO	Stage 3: Which VO would interest the audience more 3A - Female VO 3B - Male VO 3C - Only Background Music	Male VO worked best - AUD 0.0017 per 95% view
2023	Vietnam	Stage 1: Script	Stage 1: Which script would interest the audience more 1A - Conflicts with Parents 1B - Conflicts with Partner 1C - Conflicts with Friends	Script Conflicts with parents worked better - AUD 0.0015 per 95% view and 1 conversation
2023	Vietnam	Stage 2: Format	Stage 2: Which format would interest the audience more 2A - Text on Abstract Background 2B - Artblog 2C - Synthesia Woman 2D - Text Animation + Human face on White BG	Format Text on abstract worked better - AUD 0.0018 per 95% view
2023	Vietnam	Stage 3: VO	Stage 3: Which VO would interest the audience more 3A - Female VO 3B - Male VO 3C - Only music	Only music worked best - AUD 0.0017 per 95% view
2023	Vietnam	Stage 1: Script	Stage 1: Which script would interest the audience more 1A - Lack of love from parents 1B - Hurt by parents 1C - Pressured from parents' expectations	Script Hurt by parents worked better - AUD 0.0012 per 95% view
2023	Vietnam	Stage 2: Format	Stage 2: Which format would interest the audience more 1A - Text on Abstract Background 1B - Artblog 1C - Synthesia Woman 1D - Memes	Format Synthesia Woman  worked better - AUD 0.0011 per 95% view
2023	Vietnam	Stage 3: VO	Stage 3: Which VO would interest the audience more 3A - Female VO 3B - Male VO 3C - Only music	Female VO work best - AUD 0.001 per 95% view and 1 conversation
2023	Vietnam	Stage 1: Script	Stage 1: Which script would interest the audience more 1A - Loneliness 1B - Betrayal 1C - Heartbroken/Break-up	Script Heartbroken/Break-up worked better - AUD 0.0013 per 95% view
2023	Vietnam	Stage 2: Format	Stage 2: Which format would interest the audience more 1A - Text on Abstract Background 1B - Artblog 1C - Synthesia Woman 1D - Memes	Format Artblog work better - AUD 0.0011 per 95% view
2023	Vietnam	Stage 1: Script	Stage 1: Which script would interest the audience more 1A - Coping with loneliness through work 1B - Coping with loneliness through relationships 1C - Coping with loneliness through Social Media	Script Coping with loneliness through work worked better - AUD 0.001 per 95% view
2023	Vietnam	Stage 2: Format	Stage 2: Which format would interest the audience more 1A - Text on Abstract Background 1B - Artblog 1C - Synthesia Woman 1D - Memes	Format Text on Abstract worked better - AUD 0.0014 per 95% view
2023	Vietnam	Stage 1: Script	Stage 1: Which script would interest the audience more 1A - Nominal 1B - Covetous 1C - Nervous 1D - Believing 1E - Practicing	Script Nominal worked better - AUD 0.0014 per 95% view
2023	Vietnam	Stage 2: Format	Stage 2: Which format would interest audiences more 2A - Text on Abstract Background, Hiphop Music 2B - Artblog - stock video with Pagoda Buddhist Image, Film Stripes, Hiphop Music 2C - Artblog - stock video with Asian faces Film Stripes, Hiphop Music... 2D - Synthesia Woman Hiphop Music	Format Artblog - stock video with Asian faces Film Stripes, Hiphop Music worked better - AUD 0.0014 per 95% view
2023	Vietnam	Stage 1: Script	Stage 1: Which script would interest the audience more 1A - Nominal 1B - Covetous 1C - Nervous 1D - Believing 1E - Practicing	Script Believing receive the highest amount of messages coming, 4 messages.
2023	Vietnam	Stage 2: Format	Stage 2: Which format would interest audiences more 2A - Text on Abstract Background, Hiphop Music 2B - Artblog - stock video with Pagoda Buddhist Image, Film Stripes, Hiphop Music 2C - Artblog - stock video with Asian faces Film Stripes, Hiphop Music 2D - Synthesia Woman Hiphop Music	Format Artblog - stock video with Asian faces Film Stripes, Hiphop Music worked better - 7 messages
2023	Vietnam	Stage 1: Script	Stage 1: Which script would interest the audience more 1A - Emptiness 1B - Emptiness Because of Unfulfilled Dreams 1C - Emptiness Because of Lack of Purpose	Script Emptiness worked better - AUD 0.0015 per 95% view
